,name,version,description,keywords,dependencies,devDependencies,communityInterest,downloadsCount,downloadsAcceleration,dependentsCount,quality,popularity,maintenance,maintainers
0,lodash,4.17.21,Lodash modular utilities.,"['modules', 'stdlib', 'util']",,,56852,175394745.66666666,561790.0786529682,91889,0.6779972489515405,0.9832919824411644,0.9835760839038322,"['0', '1', '2']"
1,react,17.0.2,React is a JavaScript library for building user interfaces.,['react'],"{'loose-envify': '^1.1.0', 'object-assign': '^4.1.1'}",,207801,43274073.0,99509.20331050229,49667,0.9003979043794126,0.9420793497458628,0.9727407588873984,"['3', '4', '5', '6', '7', '8', '9', '10']"
2,loose-envify,1.4.0,Fast (and loose) selective `process.env` replacer using js-tokens instead of an AST,"['environment', 'variables', 'browserify', 'browserify-transform', 'transform', 'source', 'configuration']",{'js-tokens': '^3.0.0 || ^4.0.0'},"{'browserify': '^13.1.1', 'envify': '^3.4.0', 'tap': '^8.0.0'}",278,56785779.0,98507.12136605784,516,0.9295726835687892,0.5922618050763575,0.9998651952945008,['11']
3,js-tokens,6.0.0,Tiny JavaScript tokenizer.,"['JavaScript', 'js', 'ECMAScript', 'es', 'token', 'tokens', 'tokenize', 'tokenizer', 'regex', 'regexp']",,,5,100306313.0,224345.29944824963,194,0.1989849939146585,0.5283854360498504,0.13700076530790864,['12']
4,object-assign,4.1.1,ES2015 `Object.assign()` ponyfill,"['object', 'assign', 'extend', 'properties', 'es2015', 'ecmascript', 'harmony', 'ponyfill', 'prollyfill', 'polyfill', 'shim', 'browser']",,"{'ava': '^0.16.0', 'lodash': '^4.16.4', 'matcha': '^0.7.0', 'xo': '^0.16.0'}",1067,105929912.33333333,317124.5145167429,6937,0.9554165595786436,0.7695949873987991,0.9998651952945008,"['9', '4', '13']"
5,chalk,4.1.0,Terminal string styling done right,"['color', 'colour', 'colors', 'terminal', 'console', 'cli', 'string', 'str', 'ansi', 'style', 'styles', 'tty', 'formatting', 'rgb', '256', 'shell', 'xterm', 'log', 'logging', 'command-line', 'text']","{'ansi-styles': '^4.1.0', 'supports-color': '^7.1.0'}","{'ava': '^2.4.0', 'coveralls': '^3.0.7', 'execa': '^4.0.0', 'import-fresh': '^3.1.0', 'matcha': '^0.7.0', 'nyc': '^15.0.0', 'resolve-from': '^5.0.0', 'tsd': '^0.7.4', 'xo': '^0.28.2'}",17627,270704432.0,948333.2457762556,56930,0.8944135914991744,0.9463422859896276,0.999894531306083,"['14', '13']"
6,ansi-styles,5.2.0,ANSI escape codes for styling strings in the terminal,"['ansi', 'styles', 'color', 'colour', 'colors', 'terminal', 'console', 'cli', 'string', 'tty', 'escape', 'formatting', 'rgb', '256', 'shell', 'xterm', 'log', 'logging', 'command-line', 'text']",,"{'ava': '^2.4.0', 'svg-term-cli': '^2.1.1', 'tsd': '^0.14.0', 'xo': '^0.37.1'}",402,273069761.6666667,1151955.187480974,549,0.8348371147464844,0.6517165355241257,0.999894531306083,"['13', '14']"
7,supports-color,8.1.1,Detect whether a terminal supports color,"['color', 'colour', 'colors', 'terminal', 'console', 'cli', 'ansi', 'styles', 'tty', 'rgb', '256', 'shell', 'xterm', 'command-line', 'support', 'supports', 'capability', 'detect', 'truecolor', '16m']",{'has-flag': '^4.0.0'},"{'ava': '^2.4.0', 'import-fresh': '^3.2.2', 'xo': '^0.35.0'}",354,391092122.6666667,1309785.5094178077,831,0.8348371147464844,0.6635044039976473,0.999894531306083,"['13', '14']"
8,has-flag,4.0.0,Check if argv has a specific flag,"['has', 'check', 'detect', 'contains', 'find', 'flag', 'cli', 'command-line', 'argv', 'process', 'arg', 'args', 'argument', 'arguments', 'getopt', 'minimist', 'optimist']",,"{'ava': '^1.4.1', 'tsd': '^0.7.2', 'xo': '^0.24.0'}",86,228152147.33333334,719297.3625951293,253,0.9554165595786436,0.5911055087256856,0.9999405727453268,['13']
9,tslib,2.2.0,Runtime library for TypeScript helper functions,"['TypeScript', 'Microsoft', 'compiler', 'language', 'javascript', 'tslib', 'runtime']",,,961,186277622.33333334,838583.9335996958,40976,0.8540986051313582,0.8276599876503041,0.6661652715608091,"['15', '16', '17', '18', '19', '20', '21', '22', '23']"
